BARRIO,CLIENTE,MNT TRX,PORCENTAJE POR CLIENTE
Unidad Residencial Santiago de Cali,3.04E+17,1.21491E+11,0.08
La Paz,8.04E+18,1.21487E+11,0.08
Prados del Norte,1.29E+17,1.21386E+11,0.08
Los Guaduales,2.67E+18,1.20666E+11,0.08
Calima,4.59E+18,1.20531E+11,0.08
Antonio Nariño,-6.32E+18,1.20368E+11,0.08
Industrial,2.95E+17,1.18985E+11,0.07
Colseguros Andes,-7.49E+18,1.18628E+11,0.07
La Merced,-4.82E+18,1.18373E+11,0.07
Siete de Agosto,-2.42E+18,1.18126E+11,0.07
Ciudad Córdoba,-6.32E+18,1.17927E+11,0.07
La Ciudadela Confandi,-3.38E+18,1.17626E+11,0.07
Manzanares,-3.65E+18,1.16543E+11,0.07
San Nicolás,7.87E+18,1.16384E+11,0.07
Chapinero,7.48E+17,1.16092E+11,0.07
Chapinero,-6.87E+18,1.16026E+11,0.07
Calimio Desepaz,7.52E+18,1.15953E+11,0.07
Los Parques,6.32E+18,1.15753E+11,0.07
Colseguros Andes,-3.22E+18,1.15697E+11,0.07
San Pedro,-5.25E+18,1.15031E+11,0.07
Santa Mónica Residencial,5.07E+18,1.14192E+11,0.07
Meléndez,-8.29E+18,1.13733E+11,0.07
Mariano Ramos,-9.05E+18,1.13591E+11,0.07
Olaya Herrera,3.12E+18,1.1359E+11,0.07
El Limonar,-1.11E+18,1.1359E+11,0.07
Municipal,-5.79E+18,1.13322E+11,0.07
Alfonso López I,1.06E+18,1.12506E+11,0.07
Calima,4.62E+18,1.12193E+11,0.07
San Luis II,-2.27E+18,1.11131E+11,0.07
El Jardín,-3.70E+18,1.10771E+11,0.07
La Selva,3.05E+18,1.10711E+11,0.07
La Selva,6.32E+18,1.10711E+11,0.07
El Gran Limonar,-5.69E+18,1.10473E+11,0.07
Unidad Residencial Santiago de Cali,-8.06E+18,1.10444E+11,0.07
Chapinero,-5.90E+18,1.10442E+11,0.07
Los Libertadores,1.43E+17,1.09951E+11,0.07
San Pedro,-3.90E+18,1.09642E+11,0.07
San Vicente,-3.85E+18,1.09417E+11,0.07
San Vicente,-7.78E+18,1.09337E+11,0.07
San Nicolás,2.49E+18,1.0932E+11,0.07
Paseo del Comercio,-2.55E+18,1.08574E+11,0.07
Cristobal Colón,-2.80E+18,1.08526E+11,0.07
Colseguros Andes,-8.65E+18,1.08397E+11,0.07
Lili,-8.85E+18,1.08177E+11,0.07
Lili,-5.91E+18,1.07612E+11,0.07
La Merced,-5.74E+18,1.07612E+11,0.07
Meléndez,4.30E+18,1.07577E+11,0.07
Puerta del Sol,5.52E+17,1.07498E+11,0.07
Calima,3.95E+18,1.068E+11,0.07
Los Comuneros II,6.89E+18,1.06501E+11,0.07
Meléndez,-1.60E+18,1.06218E+11,0.07
Desepaz Invicali,-6.50E+18,1.05603E+11,0.07
El Ángel del Hogar,5.79E+16,1.05477E+11,0.07
Santa Isabel,-5.57E+17,1.05477E+11,0.07
La Independencia,6.22E+18,1.04942E+11,0.07
El Sena,-3.61E+17,1.0492E+11,0.07
El Jardín,8.56E+18,1.04823E+11,0.07
Primavera,3.25E+18,1.04752E+11,0.07
San Nicolás,-2.99E+18,1.04426E+11,0.07
Unicentro Cali,-6.94E+18,1.0433E+11,0.07
Alameda,-4.89E+18,1.03647E+11,0.07
El Gran Limonar,6.12E+18,1.03553E+11,0.06
Calimio Desepaz,-2.35E+18,1.03302E+11,0.06
La Merced,-3.69E+18,1.02286E+11,0.06
Urbanización Militar,3.79E+18,1.00975E+11,0.06
José Manuel Marroquin I,-7.24E+18,1.00973E+11,0.06
El Poblado,-4.64E+18,1.0086E+11,0.06
Industrial,1.78E+18,1.00679E+11,0.06
