BARRIO,CLIENTE,MNT TRX,PORCENTAJE POR CLIENTE
Bretana,7.72E+18,57656540,0
Bretana,-4.63E+18,57656540,0
Bretana,-5.65E+18,57656540,0
Bretana,-6.83E+18,57656540,0
Bretana,-4.85E+18,57656540,0
Bretana,8.22E+17,57656540,0
Bretana,-6.47E+18,57656540,0
Bretana,9.06E+18,57656540,0
Bretana,4.60E+18,57656540,0
Bretana,-4.71E+18,57656540,0
Bretana,4.07E+18,57656540,0
Bretana,-6.62E+18,57656540,0
Bretana,-1.72E+18,57656540,0
Bretana,-2.24E+17,57656540,0
Bretana,-1.31E+18,57656540,0
Bretana,4.51E+18,57656540,0
Bretana,1.58E+18,57656540,0
Bretana,-3.82E+18,57656540,0
Bretana,-7.32E+18,57656540,0
Bretana,-5.90E+18,57656540,0
Bretana,6.14E+18,57656540,0
Bretana,-4.08E+17,57656540,0
Bretana,5.18E+18,57656540,0
Barrio Obrero,-3.74E+18,57626590,0
Los Cambulos,6.92E+17,57606210,0
Urbanización Ciudad Jardín,-8.00E+18,57592100,0
Alfonso López III,5.41E+18,57587695,0
Alfonso López III,-4.59E+18,57587695,0
El Gran Limonar,-5.33E+18,57577261.5,0
Urbanización La Flora,3.94E+18,57575633.5,0
Santa Elena,-1.20E+18,57562155,0
Santa Elena,3.95E+18,57562155,0
Santa Elena,1.48E+17,57562155,0
Urbanización La Flora,4.56E+18,57561839.5,0
Urbanización La Flora,-9.11E+18,57561839.5,0
Urbanización La Flora,3.55E+18,57561839.5,0
Colseguros Andes,-1.71E+18,57558610,0
Versalles,-9.10E+18,57545097.5,0
La Isla,3.97E+18,57543510,0
La Isla,-8.84E+18,57543510,0
La Isla,5.59E+18,57543510,0
La Isla,8.09E+18,57543510,0
Cataya-El Gran Limonar,-6.45E+18,57537610,0
Cataya-El Gran Limonar,-4.26E+18,57537610,0
Cataya-El Gran Limonar,6.56E+18,57537610,0
Cataya-El Gran Limonar,8.75E+18,57537610,0
Buenos Aires,-4.75E+18,57529490,0
Francisco Eladio Ramírez,-7.19E+18,57522685,0
Francisco Eladio Ramírez,-8.20E+18,57522685,0
San Pedro,-7.41E+18,57515639.5,0
Urbanización Río Lili,-7.88E+18,57513355,0
Camino Real-Los Fundadores,-6.37E+18,57493280,0
Camino Real-Los Fundadores,2.33E+18,57493280,0
Camino Real-Los Fundadores,2.94E+18,57493280,0
Camino Real-Los Fundadores,1.05E+18,57493280,0
Camino Real-Los Fundadores,-1.31E+17,57493280,0
Camino Real-Los Fundadores,-5.31E+18,57493280,0
Camino Real-Los Fundadores,-3.39E+18,57493280,0
Camino Real-Los Fundadores,-6.94E+18,57493280,0
Camino Real-Los Fundadores,4.11E+18,57493280,0
Camino Real-Los Fundadores,7.81E+18,57493280,0
Camino Real-Los Fundadores,-8.82E+17,57493280,0
Camino Real-Los Fundadores,8.49E+18,57493280,0
Camino Real-Los Fundadores,-2.10E+18,57493280,0
Urbanización Ciudad Jardín,4.27E+18,57480740,0
Urbanización Ciudad Jardín,-3.67E+18,57480740,0
Urbanización Ciudad Jardín,5.00E+18,57480740,0
3 de Julio,-5.33E+18,57459415,0
3 de Julio,-4.10E+18,57459415,0
3 de Julio,3.49E+18,57459415,0
Cuarto de Legua-Guadalupe,-6.68E+18,57459375,0
Cuarto de Legua-Guadalupe,6.44E+17,57459375,0
Belalcazar,-6.83E+18,57456850,0
Parcelaciones Pance,-3.26E+18,57439095,0
Santa Mónica Residencial,2.95E+18,57431764.5,0
Belalcazar,3.51E+17,57414450,0
Belalcazar,4.88E+18,57414450,0
Parcelaciones Pance,7.58E+16,57413255,0
Parcelaciones Pance,3.54E+18,57403445,0
Parcelaciones Pance,-7.93E+18,57396005,0
Parcelaciones Pance,3.47E+18,57396005,0
Parcelaciones Pance,1.57E+18,57396005,0
Parcelaciones Pance,5.56E+18,57396005,0
Parcelaciones Pance,4.55E+16,57396005,0
Parcelaciones Pance,-2.67E+18,57396005,0
Parcelaciones Pance,3.37E+18,57396005,0
Parcelaciones Pance,-9.20E+18,57396005,0
Parcelaciones Pance,-1.39E+18,57396005,0
Parcelaciones Pance,-2.00E+18,57396005,0
Parcelaciones Pance,7.95E+18,57396005,0
Parcelaciones Pance,-2.13E+18,57396005,0
Parcelaciones Pance,1.26E+18,57396005,0
Parcelaciones Pance,5.07E+18,57396005,0
Parcelaciones Pance,-6.66E+18,57396005,0
Parcelaciones Pance,4.44E+18,57396005,0
Parcelaciones Pance,-2.04E+18,57396005,0
Parcelaciones Pance,-8.67E+18,57396005,0
Parcelaciones Pance,8.72E+17,57396005,0
Parcelaciones Pance,7.66E+18,57396005,0
Parcelaciones Pance,-5.23E+18,57396005,0
Parcelaciones Pance,8.06E+18,57396005,0
Parcelaciones Pance,-3.67E+18,57396005,0
Granada,-7.30E+17,57395965,0
Granada,4.93E+18,57395965,0
Granada,-6.33E+18,57395965,0
Pampalinda,-7.68E+18,57391885,0
El Calvario,-2.37E+18,57391430,0
Granada,3.27E+18,57381570,0
Granada,3.66E+18,57381570,0
Granada,7.24E+18,57381570,0
Manzanares,8.14E+18,57379055,0
Manzanares,-3.31E+18,57379055,0
Manzanares,6.18E+18,57379055,0
Manzanares,-1.28E+18,57379055,0
Manzanares,-1.60E+18,57379055,0
Manzanares,-5.61E+18,57379055,0
Manzanares,5.20E+18,57379055,0
Manzanares,4.63E+18,57379055,0
Manzanares,-2.46E+18,57379055,0
Manzanares,1.56E+18,57379055,0
Manzanares,8.79E+18,57379055,0
Manzanares,4.37E+18,57379055,0
Manzanares,-7.30E+17,57379055,0
Manzanares,-3.57E+18,57379055,0
Manzanares,-8.58E+18,57379055,0
Manzanares,2.64E+18,57379055,0
Manzanares,8.98E+18,57379055,0
Manzanares,2.21E+18,57379055,0
Manzanares,1.32E+18,57379055,0
Manzanares,-7.53E+18,57379055,0
Manzanares,4.57E+18,57379055,0
Manzanares,1.58E+18,57379055,0
Manzanares,4.84E+18,57379055,0
Manzanares,-4.96E+17,57379055,0
Manzanares,-3.86E+18,57379055,0
Cuarto de Legua-Guadalupe,3.53E+18,57378975,0
Cuarto de Legua-Guadalupe,2.38E+18,57378975,0
Cuarto de Legua-Guadalupe,-7.32E+18,57378975,0
Cuarto de Legua-Guadalupe,-7.32E+18,57378975,0
Cuarto de Legua-Guadalupe,6.15E+18,57378975,0
Cuarto de Legua-Guadalupe,4.57E+18,57378975,0
Cuarto de Legua-Guadalupe,8.48E+18,57378975,0
Cuarto de Legua-Guadalupe,-2.09E+18,57378975,0
Cuarto de Legua-Guadalupe,2.17E+18,57378975,0
Cuarto de Legua-Guadalupe,2.31E+18,57378975,0
Cuarto de Legua-Guadalupe,7.95E+18,57378975,0
Cuarto de Legua-Guadalupe,-1.28E+18,57378975,0
Cuarto de Legua-Guadalupe,-2.65E+18,57378975,0
Cuarto de Legua-Guadalupe,7.79E+18,57378975,0
Cuarto de Legua-Guadalupe,-6.94E+18,57378975,0
Cuarto de Legua-Guadalupe,-4.99E+18,57378975,0
Cuarto de Legua-Guadalupe,2.04E+17,57378975,0
Cuarto de Legua-Guadalupe,1.11E+18,57378975,0
Cuarto de Legua-Guadalupe,-2.04E+18,57378975,0
3 de Julio,-8.94E+18,57378935,0
3 de Julio,8.27E+18,57378935,0
3 de Julio,-7.32E+18,57378935,0
3 de Julio,9.28E+17,57378935,0
3 de Julio,-6.45E+17,57378935,0
3 de Julio,-5.10E+18,57378935,0
3 de Julio,-5.07E+18,57378935,0
3 de Julio,9.14E+18,57378935,0
3 de Julio,4.29E+18,57378935,0
3 de Julio,1.68E+18,57378935,0
3 de Julio,-6.86E+18,57378935,0
3 de Julio,2.95E+18,57378935,0
3 de Julio,-1.74E+18,57378935,0
3 de Julio,7.42E+17,57378935,0
3 de Julio,-2.19E+17,57378935,0
3 de Julio,7.82E+18,57378935,0
3 de Julio,-8.90E+18,57378935,0
3 de Julio,5.22E+17,57378935,0
3 de Julio,9.01E+18,57378935,0
3 de Julio,3.00E+18,57378935,0
3 de Julio,9.01E+18,57378935,0
3 de Julio,-9.05E+18,57378935,0
3 de Julio,7.27E+18,57378935,0
3 de Julio,-6.07E+18,57378935,0
3 de Julio,-2.62E+18,57378935,0
3 de Julio,5.88E+18,57378935,0
3 de Julio,4.94E+18,57378935,0
3 de Julio,-1.57E+18,57378935,0
3 de Julio,-8.98E+18,57378935,0
3 de Julio,-7.90E+18,57378935,0
3 de Julio,7.95E+18,57378935,0
3 de Julio,5.66E+18,57378935,0
3 de Julio,-7.43E+18,57378935,0
3 de Julio,7.83E+18,57378935,0
3 de Julio,-3.73E+18,57378935,0
3 de Julio,2.73E+18,57378935,0
3 de Julio,-3.33E+18,57378935,0
3 de Julio,4.56E+18,57378935,0
3 de Julio,8.00E+18,57378935,0
3 de Julio,-5.52E+18,57378935,0
3 de Julio,4.11E+18,57378935,0
3 de Julio,3.38E+18,57378935,0
3 de Julio,3.47E+18,57378935,0
3 de Julio,7.18E+18,57378935,0
3 de Julio,-3.14E+18,57378935,0
3 de Julio,-7.36E+17,57378935,0
3 de Julio,-8.39E+18,57378935,0
3 de Julio,4.46E+18,57378935,0
Unidad Residencial Santiago de Cali,-7.67E+18,57376880,0
Santander,4.23E+18,57331495,0
Santander,-2.35E+18,57331495,0
Flora Industrial,-2.77E+17,57331160,0
Flora Industrial,-8.98E+18,57331160,0
Flora Industrial,5.40E+18,57331160,0
Guillermo León Valencia,6.50E+18,57328485,0
3 de Julio,1.01E+18,57313260,0
3 de Julio,3.10E+18,57313260,0
La Merced,4.59E+18,57307320,0
Buenos Aires,1.87E+18,57288980,0
Buenos Aires,6.81E+18,57287270,0
Buenos Aires,7.88E+18,57287270,0
Buenos Aires,1.26E+18,57287270,0
Buenos Aires,-8.61E+18,57287270,0
Buenos Aires,6.38E+18,57287270,0
Buenos Aires,-2.78E+18,57287270,0
Buenos Aires,5.65E+18,57287270,0
Buenos Aires,-3.14E+18,57287270,0
Buenos Aires,3.41E+18,57287270,0
Buenos Aires,8.42E+18,57287270,0
Juanambu,6.97E+18,57214885,0
Juanambu,2.95E+18,57214885,0
Sucre,2.54E+18,57161295,0
Sucre,-9.43E+16,57161295,0
Sucre,3.84E+18,57161295,0
Sucre,-2.21E+18,57161295,0
Sucre,7.17E+18,57161295,0
Los Cambulos,-1.76E+18,57148675,0
Los Cambulos,8.27E+18,57148675,0
Los Cambulos,-8.12E+18,57148675,0
Los Cambulos,-1.31E+18,57148675,0
Los Cambulos,8.90E+18,57148675,0
Los Cambulos,-4.03E+18,57148675,0
Los Cambulos,-2.22E+18,57148675,0
Los Cambulos,9.18E+18,57148675,0
Los Cambulos,7.12E+18,57148675,0
Sucre,5.11E+18,57098185,0
El Gran Limonar,8.13E+18,57094834.5,0
Los Portales-Nuevo Rey,-7.32E+18,57080480,0
Los Portales-Nuevo Rey,-2.68E+18,57080480,0
Los Portales-Nuevo Rey,-8.02E+18,57080480,0
Los Portales-Nuevo Rey,1.05E+18,57080480,0
Los Portales-Nuevo Rey,2.85E+18,57080480,0
Ciudad Capri,8.90E+18,57078550,0
Santa Mónica Residencial,-3.89E+18,57077636,0
Guillermo León Valencia,-8.58E+18,57073970,0
Guillermo León Valencia,-2.62E+18,57073970,0
Guillermo León Valencia,3.34E+18,57073970,0
Guillermo León Valencia,-3.34E+18,57073970,0
San Pedro,-8.98E+18,57073175.5,0
Cataya-El Gran Limonar,8.40E+18,57073100,0
Cataya-El Gran Limonar,-7.42E+18,57073100,0
Cataya-El Gran Limonar,-6.18E+18,57073100,0
Urbanización Ciudad Jardín,-2.22E+18,57071085,0
El Lido,-7.03E+18,57068445,0
El Lido,-8.96E+18,57068445,0
El Lido,3.38E+18,57068445,0
El Lido,8.19E+18,57068445,0
El Lido,6.78E+18,57068445,0
El Lido,7.04E+18,57068445,0
Manzanares,4.51E+18,57067615,0
Santa Mónica Residencial,-3.88E+18,57055735,0
Ciudad Capri,-3.12E+18,57042080,0
Santa Anita,6.22E+18,57017145,0
Belalcazar,4.94E+18,57013540,0
Santa Mónica Residencial,3.35E+18,57012538,0
Santa Anita,1.48E+17,56995885,0
Santa Anita,3.54E+18,56995885,0
Santa Anita,7.50E+18,56995885,0
Santa Anita,4.25E+18,56995885,0
El Gran Limonar,-5.54E+18,56990428,0
Santa Mónica Residencial,1.47E+18,56990224.5,0
El Jardín,3.07E+18,56988215,0
El Jardín,-6.46E+18,56988215,0
El Jardín,-7.50E+18,56988215,0
El Jardín,8.24E+17,56988215,0
El Jardín,-4.10E+18,56988215,0
El Jardín,-3.52E+18,56988215,0
El Jardín,-3.73E+18,56988215,0
El Jardín,-9.07E+18,56988215,0
El Jardín,-4.00E+18,56988215,0
El Jardín,-6.64E+17,56988215,0
El Jardín,-7.44E+18,56988215,0
Santa Mónica Residencial,2.03E+16,56982865.5,0
Santa Mónica Residencial,-8.59E+18,56980935,0
El Calvario,-7.26E+18,56974950,0
San Pedro,2.17E+18,56967069.5,0
El Sena,8.69E+18,56962230,0
La Flora,3.39E+18,56952405,0
La Flora,-8.96E+18,56952405,0
Santa Anita,-7.63E+18,56949370,0
Urbanización San Juaquín,-8.96E+18,56944520,0
Santa Mónica Residencial,5.97E+17,56936264,0
Santa Mónica Residencial,-5.57E+18,56936264,0
Barrio Obrero,8.72E+18,56932940,0
Santa Mónica Residencial,-6.43E+18,56922415,0
Santa Mónica Residencial,4.31E+18,56915694,0
Chipichape,7.55E+18,56912010,0
Urbanización Tequendama,-4.10E+18,56911955,0
Urbanización Tequendama,-7.32E+18,56911570,0
Urbanización Tequendama,7.28E+18,56911570,0
Urbanización Tequendama,-8.50E+16,56911570,0
Urbanización Tequendama,4.16E+18,56911570,0
Urbanización Tequendama,-9.07E+18,56911570,0
Urbanización Tequendama,5.41E+18,56911570,0
Urbanización Tequendama,6.64E+18,56911570,0
Urbanización Tequendama,-3.48E+18,56911570,0
Urbanización Tequendama,-8.71E+17,56911570,0
Belalcazar,-3.33E+18,56910165,0
Belalcazar,-3.45E+18,56910165,0
Belalcazar,3.62E+18,56910165,0
Santa Mónica Residencial,-2.26E+18,56907004,0
Santa Mónica Residencial,-6.75E+18,56905123,0
Chipichape,7.45E+18,56899200,0
El Calvario,-3.09E+18,56894640,0
El Calvario,3.53E+18,56894640,0
Urbanización San Juaquín,-2.53E+17,56890565,0
Santa Anita,-4.10E+18,56885530,0
Urbanización San Juaquín,-4.21E+18,56879655,0
Santa Mónica Residencial,8.75E+18,56874983,0
Santa Mónica Residencial,7.67E+18,56870533.5,0
Chipichape,-7.55E+18,56870345,0
Olímpico,-5.22E+17,56868345,0
Olímpico,-1.07E+17,56868345,0
Olímpico,2.34E+17,56868345,0
Centenario,7.81E+18,56866475,0
Chipichape,-7.19E+18,56864245,0
Prados del Norte,-3.91E+17,56862833.5,0
Urbanización Tequendama,3.79E+18,56862510,0
San Nicolás,8.79E+17,56858835,0
El Gran Limonar,-4.01E+17,56857295,0
San Nicolás,3.97E+18,56857201.5,0
San Nicolás,3.38E+18,56857020,0
San Nicolás,2.65E+18,56857020,0
San Nicolás,-3.94E+18,56857020,0
San Nicolás,8.69E+18,56857020,0
San Nicolás,7.88E+17,56857020,0
San Nicolás,3.12E+18,56857020,0
San Nicolás,-5.85E+17,56857020,0
San Nicolás,8.37E+17,56857020,0
San Nicolás,7.38E+18,56857020,0
San Nicolás,7.74E+18,56857020,0
San Nicolás,8.62E+18,56857020,0
San Nicolás,-3.09E+18,56857020,0
San Nicolás,7.55E+18,56856976,0
San Nicolás,7.50E+18,56856976,0
El Calvario,-6.74E+18,56855705,0
Guayaquil,4.82E+18,56854798,0
El Calvario,-3.22E+18,56854485,0
El Calvario,5.68E+18,56854485,0
San Nicolás,-2.97E+18,56854209.5,0
San Nicolás,3.91E+18,56854209.5,0
Santa Mónica Residencial,6.81E+18,56851833.5,0
San Vicente,-5.81E+16,56850942.5,0
Santa Mónica Residencial,-2.03E+18,56849034,0
Santa Mónica Residencial,-4.25E+17,56846922,0
Santa Mónica Residencial,6.44E+18,56846922,0
Chipichape,4.11E+18,56844745,0
Santa Mónica Residencial,-6.45E+18,56835207,0
San Pedro,8.19E+18,56834453.5,0
Santa Mónica Residencial,-4.03E+18,56832292,0
Versalles,-7.53E+18,56831973,0
Santa Mónica Residencial,3.90E+18,56829146,0
San Pedro,6.14E+18,56827314.5,0
San Pedro,2.75E+18,56826759,0
Santa Mónica Residencial,-4.89E+18,56825081.5,0
Santa Anita,1.12E+18,56821690,0
Santa Anita,5.59E+18,56821690,0
Santa Anita,5.41E+18,56821690,0
Santa Mónica Residencial,5.88E+18,56820951,0
Santa Mónica Residencial,9.04E+18,56820951,0
Santa Mónica Residencial,6.43E+18,56818778.5,0
Chipichape,-8.01E+17,56817850,0
Santa Mónica Residencial,2.67E+18,56813757,0
El Gran Limonar,-7.50E+18,56812943,0
Santa Mónica Residencial,8.75E+18,56811606.5,0
Santa Mónica Residencial,-6.58E+18,56811606.5,0
Santa Mónica Residencial,2.36E+17,56810490,0
Santa Mónica Residencial,3.92E+18,56806414.5,0
Santa Mónica Residencial,-7.37E+18,56806370.5,0
Santa Mónica Residencial,7.98E+17,56806370.5,0
Santa Mónica Residencial,-5.29E+18,56802251,0
Santa Mónica Residencial,-1.76E+18,56802251,0
Santa Mónica Residencial,5.37E+18,56802251,0
Santa Mónica Residencial,1.95E+18,56802251,0
Santa Mónica Residencial,-3.33E+18,56802251,0
Santa Mónica Residencial,-3.56E+17,56802251,0
Santa Mónica Residencial,-7.31E+18,56802251,0
Santa Mónica Residencial,-5.72E+18,56802251,0
Santa Mónica Residencial,1.73E+18,56802251,0
Santa Mónica Residencial,-7.70E+17,56802251,0
Santa Mónica Residencial,6.94E+17,56802251,0
Santa Mónica Residencial,5.83E+18,56802251,0
Santa Mónica Residencial,4.37E+18,56802251,0
Santa Mónica Residencial,1.08E+18,56802251,0
Santa Mónica Residencial,6.37E+18,56802251,0
Santa Mónica Residencial,3.07E+18,56802251,0
Santa Mónica Residencial,-5.60E+18,56802251,0
Santa Mónica Residencial,8.35E+18,56802251,0
Santa Mónica Residencial,-3.98E+17,56802251,0
Santa Mónica Residencial,-7.55E+18,56802251,0
Santa Mónica Residencial,-1.30E+17,56802251,0
Santa Mónica Residencial,7.91E+18,56802251,0
Santa Mónica Residencial,-2.15E+18,56802251,0
Santa Mónica Residencial,-4.03E+18,56802251,0
Santa Mónica Residencial,5.60E+18,56802251,0
Santa Mónica Residencial,-8.22E+18,56802251,0
Santa Mónica Residencial,-4.06E+18,56802251,0
Santa Mónica Residencial,5.08E+18,56802251,0
Santa Mónica Residencial,-5.11E+17,56802251,0
Santa Mónica Residencial,7.27E+18,56802251,0
Santa Mónica Residencial,9.55E+17,56802251,0
Santa Mónica Residencial,3.65E+18,56802251,0
Chipichape,8.03E+18,56797405,0
El Gran Limonar,-7.69E+17,56790734,0
Parcelaciones Pance,5.26E+18,56788975,0
Parcelaciones Pance,2.65E+18,56788975,0
Barrio Obrero,-5.73E+18,56787360,0
Barrio Obrero,-3.43E+17,56787360,0
Chipichape,3.36E+18,56785840,0
Chipichape,1.16E+18,56785810,0
Centenario,-1.14E+18,56783690,0
San Pedro,-1.21E+18,56779756,0
El Gran Limonar,8.19E+18,56779613,0
Urbanización Tequendama,5.82E+18,56779400,0
El Gran Limonar,2.73E+18,56776357,0
Urbanización Tequendama,8.68E+18,56772555,0
Chipichape,7.15E+18,56770045,0
Chipichape,2.17E+18,56770045,0
El Gran Limonar,4.32E+18,56768525,0
San Nicolás,-7.92E+18,56768261,0
Centenario,4.46E+18,56765375,0
Centenario,-4.95E+18,56765375,0
Centenario,-7.04E+18,56765375,0
Centenario,-1.68E+17,56765375,0
Centenario,6.29E+18,56765375,0
Centenario,-8.14E+18,56765375,0
Centenario,-1.46E+18,56765375,0
Centenario,-8.33E+18,56765375,0
Centenario,4.70E+17,56765375,0
Centenario,-6.45E+18,56765375,0
Centenario,8.18E+18,56765375,0
Centenario,7.67E+18,56765375,0
Centenario,8.42E+17,56765375,0
Centenario,-4.79E+18,56765375,0
Centenario,8.74E+18,56765375,0
Centenario,-5.32E+18,56765375,0
Centenario,-3.76E+18,56765375,0
Industrial,6.13E+17,56763278,0
Industrial,-8.09E+18,56763278,0
Industrial,8.92E+18,56763278,0
Industrial,2.53E+18,56763278,0
Industrial,7.91E+18,56763278,0
San Nicolás,-7.90E+18,56762865.5,0
Santa Elena,-7.37E+18,56761130,0
El Gran Limonar,-3.88E+18,56757442.5,0
El Gran Limonar,8.85E+18,56757426,0
El Gran Limonar,8.22E+18,56757426,0
Industrial,6.69E+18,56755968.5,0
Industrial,5.26E+18,56755968.5,0
El Peñón,2.34E+18,56754698,0
El Peñón,7.94E+18,56754698,0
El Peñón,-4.75E+18,56754698,0
Chipichape,-3.79E+18,56753855,0
El Peñón,-3.74E+18,56750798.5,0
El Peñón,-7.36E+18,56750798.5,0
San Pedro,-7.46E+18,56748494,0
El Gran Limonar,5.22E+17,56746338,0
El Gran Limonar,6.85E+18,56746332.5,0
San Nicolás,1.85E+18,56744391,0
San Nicolás,-4.12E+18,56743621,0
San Nicolás,2.06E+18,56743621,0
San Nicolás,2.85E+18,56743621,0
El Peñón,-2.45E+18,56741998.5,0
El Peñón,5.94E+18,56741998.5,0
El Peñón,-3.33E+18,56741998.5,0
El Peñón,-7.49E+18,56739677.5,0
El Peñón,4.50E+18,56739677.5,0
El Peñón,-8.29E+18,56739677.5,0
El Peñón,5.44E+18,56739677.5,0
El Peñón,2.87E+18,56739677.5,0
El Peñón,-4.27E+18,56739677.5,0
El Gran Limonar,3.02E+18,56739138.5,0
El Gran Limonar,7.83E+18,56735233.5,0
El Gran Limonar,1.80E+18,56735233.5,0
El Gran Limonar,-8.48E+18,56735233.5,0
El Gran Limonar,7.56E+18,56735233.5,0
El Gran Limonar,6.54E+18,56735233.5,0
El Gran Limonar,-1.28E+18,56735233.5,0
El Gran Limonar,-4.51E+18,56735233.5,0
El Gran Limonar,-8.96E+18,56735233.5,0
El Gran Limonar,-3.80E+18,56735233.5,0
El Gran Limonar,-8.02E+18,56735233.5,0
El Gran Limonar,-8.53E+18,56735233.5,0
El Gran Limonar,2.69E+18,56735233.5,0
El Gran Limonar,-8.12E+18,56735233.5,0
El Gran Limonar,3.58E+18,56735233.5,0
El Gran Limonar,6.67E+16,56735233.5,0
El Gran Limonar,-3.70E+18,56735233.5,0
El Gran Limonar,1.94E+18,56735233.5,0
El Gran Limonar,2.99E+18,56735233.5,0
El Gran Limonar,-4.71E+18,56735233.5,0
El Gran Limonar,-1.13E+18,56735233.5,0
El Gran Limonar,8.45E+18,56735233.5,0
El Gran Limonar,6.18E+18,56735233.5,0
El Gran Limonar,-3.85E+18,56735233.5,0
El Gran Limonar,-7.32E+18,56735233.5,0
El Gran Limonar,-7.36E+18,56735233.5,0
El Gran Limonar,8.28E+18,56735233.5,0
El Gran Limonar,1.06E+18,56735233.5,0
El Gran Limonar,1.51E+18,56735233.5,0
El Gran Limonar,3.68E+18,56735233.5,0
El Gran Limonar,-6.64E+17,56735233.5,0
El Gran Limonar,2.90E+18,56735233.5,0
El Gran Limonar,-3.67E+17,56735233.5,0
El Gran Limonar,3.62E+18,56735233.5,0
El Gran Limonar,4.25E+18,56735233.5,0
El Gran Limonar,-1.20E+18,56735233.5,0
El Gran Limonar,4.94E+18,56735233.5,0
El Gran Limonar,7.18E+18,56735233.5,0
El Gran Limonar,-2.16E+18,56735233.5,0
El Gran Limonar,-3.03E+18,56735233.5,0
El Gran Limonar,-7.12E+17,56735233.5,0
El Gran Limonar,-4.13E+18,56735233.5,0
El Gran Limonar,9.15E+18,56735233.5,0
Urbanización San Juaquín,-3.26E+18,56732200,0
San Pedro,-9.06E+18,56732186.5,0
San Pedro,4.86E+18,56726417,0
San Pedro,1.47E+18,56723925.5,0
San Pedro,8.90E+18,56723117,0
San Pedro,-7.45E+18,56723117,0
Champagnat,4.27E+18,56720218.5,0
San Vicente,-1.06E+18,56716522.5,0
San Pedro,-1.44E+18,56715664.5,0
Chipichape,-3.94E+18,56715655,0
Chipichape,3.30E+18,56707245,0
Urbanización San Juaquín,3.35E+18,56707120,0
Chipichape,2.16E+18,56706790,0
San Pedro,2.21E+18,56706523.5,0
Chipichape,-1.99E+18,56706300,0
San Vicente,-2.37E+18,56704202.5,0
El Pondaje,1.67E+17,56703175,0
El Pondaje,-1.92E+18,56703175,0
El Pondaje,-1.38E+18,56703175,0
El Pondaje,-5.21E+18,56703175,0
El Pondaje,1.41E+18,56703175,0
El Pondaje,7.29E+18,56703175,0
El Pondaje,8.67E+18,56703175,0
El Pondaje,8.44E+18,56703175,0
El Pondaje,9.22E+18,56703175,0
El Pondaje,-4.99E+18,56703175,0
El Pondaje,8.55E+18,56703175,0
El Pondaje,8.10E+18,56703175,0
El Pondaje,2.63E+18,56703175,0
El Pondaje,-7.30E+17,56703175,0
El Pondaje,7.78E+18,56703175,0
El Pondaje,1.66E+18,56703175,0
El Pondaje,-2.67E+18,56703175,0
Chipichape,-3.91E+18,56699655,0
El Calvario,-3.80E+17,56693690,0
San Pedro,-6.48E+18,56692982.5,0
San Pedro,6.96E+18,56692652.5,0
San Pedro,-2.55E+18,56690210.5,0
San Pedro,-8.93E+18,56688731,0
Bretana,-1.98E+17,56688400,0
Bretana,1.08E+18,56688400,0
Bretana,3.62E+18,56688400,0
San Pedro,-3.57E+18,56688313,0
San Pedro,2.84E+18,56688148,0
Centenario,-7.74E+18,56686915,0
San Pedro,-4.25E+18,56682884.5,0
San Pedro,2.02E+18,56681421.5,0
Chipichape,-4.13E+18,56681055,0
San Pedro,2.41E+18,56679771.5,0
San Pedro,1.59E+18,56678781.5,0
San Pedro,6.73E+18,56678781.5,0
San Pedro,-7.73E+18,56678781.5,0
San Pedro,-7.98E+18,56678781.5,0
San Pedro,8.86E+18,56678781.5,0
San Pedro,1.12E+18,56678781.5,0
San Pedro,3.81E+18,56678781.5,0
San Pedro,-6.28E+18,56678781.5,0
San Pedro,7.38E+18,56678781.5,0
San Pedro,5.10E+18,56678781.5,0
San Pedro,-3.83E+18,56678781.5,0
San Pedro,8.68E+18,56678781.5,0
San Pedro,8.42E+18,56678781.5,0
San Pedro,1.37E+18,56678781.5,0
San Pedro,-7.24E+18,56678781.5,0
San Pedro,-2.19E+17,56678781.5,0
San Pedro,1.32E+18,56678781.5,0
San Pedro,-7.79E+18,56678781.5,0
San Pedro,-3.82E+18,56678781.5,0
San Pedro,-6.41E+18,56678781.5,0
San Pedro,-5.20E+18,56678781.5,0
San Pedro,3.41E+18,56678781.5,0
San Pedro,9.55E+17,56678781.5,0
San Pedro,5.27E+18,56678781.5,0
San Pedro,3.84E+18,56678781.5,0
San Pedro,9.06E+18,56678781.5,0
San Pedro,-7.65E+18,56678781.5,0
San Pedro,6.30E+18,56678781.5,0
San Pedro,1.93E+18,56678781.5,0
San Pedro,4.37E+18,56678781.5,0
San Pedro,8.41E+18,56678781.5,0
San Pedro,6.34E+18,56678781.5,0
San Pedro,3.29E+18,56678781.5,0
San Pedro,-9.18E+18,56678781.5,0
San Pedro,1.97E+18,56678781.5,0
San Pedro,-3.27E+18,56678781.5,0
San Pedro,1.69E+18,56678781.5,0
San Pedro,-2.26E+18,56678781.5,0
Chipichape,-5.85E+17,56677465,0
San Pedro,-8.50E+16,56677065.5,0
Chipichape,7.38E+18,56675845,0
San Pedro,-9.08E+18,56675113,0
Santa Mónica Residencial,8.98E+18,56672159.5,0
Santa Mónica Residencial,-8.71E+18,56671054,0
San Vicente,3.17E+18,56667897,0
San Vicente,-6.19E+18,56663359.5,0
San Vicente,-7.19E+18,56662446.5,0
San Vicente,2.95E+18,56658910,0
San Vicente,-8.94E+18,56658822,0
San Vicente,8.81E+18,56658822,0
